Date,Open,High,Low,Close,Volume
14-06-2019,341.63,343.4,336.16,339.73,"50,19,011"
17-06-2019,342.69,351.77,342.06,350.62,"53,58,219"
18-06-2019,355.57,361.5,353.75,357.12,"54,28,542"
19-06-2019,361.72,364.74,356.12,363.52,"56,67,156"
20-06-2019,365.91,370.12,361.22,365.21,"58,99,467"
21-06-2019,365,371.45,365,369.21,"74,48,356"
24-06-2019,370.27,375,370.2,371.04,"48,30,240"
25-06-2019,370.75,371,358.29,360.3,"57,50,383"
26-06-2019,361.6,366.79,361.6,362.2,"36,69,677"
27-06-2019,363.2,370.85,363.2,370.02,"41,38,575"
28-06-2019,370.26,371.54,364.87,367.32,"45,92,706"
01-07-2019,373.5,376.66,372,374.6,"50,01,518"
02-07-2019,374.89,376,370.31,375.43,"36,28,962"
03-07-2019,376.69,381.99,375.84,381.72,"37,99,009"
05-07-2019,378.29,381.4,375.56,380.55,"37,32,162"
08-07-2019,378.19,378.25,375.36,376.16,"31,13,402"
09-07-2019,379.06,384.76,377.5,379.93,"69,32,822"
10-07-2019,382.77,384.34,377.4,381,"58,78,790"
11-07-2019,381.1,384.54,378.8,379.5,"43,36,287"
12-07-2019,378.68,379.74,372.79,373.25,"66,36,937"
15-07-2019,372.94,373.68,362.3,366.6,"79,44,680"
16-07-2019,370.09,371.34,364.92,365.99,"58,63,222"
17-07-2019,366.25,366.5,361.75,362.44,"1,36,39,540"
18-07-2019,323.76,329.85,320.3,325.21,"3,13,05,900"
19-07-2019,323.4,325.85,314.23,315.1,"1,63,02,480"
22-07-2019,312,314.54,305.81,310.62,"1,77,25,330"
23-07-2019,311.44,313.5,306,307.3,"91,71,068"
24-07-2019,310.51,319.99,307.25,317.94,"1,19,61,820"
25-07-2019,318.86,327.69,316.3,326.46,"1,07,98,500"
26-07-2019,328.79,336,327.5,335.78,"1,08,47,500"
29-07-2019,335.98,336.4,328.77,332.7,"57,82,817"
30-07-2019,329.2,329.65,323.23,325.93,"60,29,320"
31-07-2019,325.16,331.77,318.53,322.99,"62,59,494"
01-08-2019,324.25,328.58,318.74,319.5,"65,63,156"
02-08-2019,317.49,319.41,311.8,318.83,"62,80,343"
05-08-2019,310.96,313.42,304.68,307.63,"86,92,485"
06-08-2019,310.58,311.88,305.3,310.1,"61,79,090"
07-08-2019,302.56,305,296.81,304.29,"93,22,433"
08-08-2019,311.03,316.36,306.63,315.9,"59,05,865"
09-08-2019,313.74,316.64,305.68,308.93,"53,49,059"
12-08-2019,305.46,312.89,303.24,310.83,"65,31,722"
13-08-2019,309.77,316.43,308.16,312.28,"53,38,761"
14-08-2019,308.01,308.41,298.01,299.11,"73,55,753"
15-08-2019,299.5,300.63,288,295.76,"96,83,384"
16-08-2019,298.86,303.55,296.27,302.8,"70,90,757"
19-08-2019,306.25,311.75,304.75,309.38,"49,51,733"
20-08-2019,304.57,305,297.68,298.99,"73,52,162"
21-08-2019,301.61,302.88,296.2,297.81,"56,89,746"
22-08-2019,298.65,300.33,293.15,296.93,"49,77,042"
23-08-2019,295,299.01,290.32,291.44,"63,31,189"
26-08-2019,295.24,296.95,292.5,294.98,"46,96,982"
27-08-2019,294.54,296.77,287.2,291.03,"63,14,559"
28-08-2019,289.47,292.82,287.75,291.77,"39,58,043"
29-08-2019,295,299.93,294.99,296.78,"43,92,532"
30-08-2019,298.78,298.94,290.85,293.75,"44,47,990"
03-09-2019,290.82,293.9,288.06,289.29,"36,84,177"
04-09-2019,291.25,292.38,286.51,291.52,"46,53,665"
05-09-2019,285.32,293.97,282.79,293.25,"89,72,356"
06-09-2019,293.35,293.35,287.03,290.17,"51,66,556"
09-09-2019,294.81,301.55,290.6,294.34,"82,32,744"
10-09-2019,291.16,297.17,282.66,287.99,"1,23,20,250"
11-09-2019,285.7,292.65,284.61,288.27,"74,05,949"
12-09-2019,288.1,292.73,286.6,288.86,"50,10,927"
13-09-2019,290.61,296.62,290.04,294.15,"65,83,124"
16-09-2019,294.23,297.43,289.78,294.29,"53,07,386"
17-09-2019,294.5,299.15,291.79,298.6,"48,17,119"
18-09-2019,294.99,296.05,287.45,291.56,"78,41,539"
19-09-2019,291.56,293.81,283.4,286.6,"85,45,761"
20-09-2019,280.26,282.5,266,270.75,"2,39,54,189"
23-09-2019,268.35,273.39,261.89,265.92,"1,36,10,290"
24-09-2019,262.5,265,252.28,254.59,"1,63,92,811"
25-09-2019,255.71,266.6,253.7,264.75,"1,18,46,750"
26-09-2019,266.42,268.05,260.2,263.31,"76,96,858"
27-09-2019,266.18,267.44,260.39,263.08,"73,67,491"
30-09-2019,264,268.88,262.78,267.62,"68,23,100"
01-10-2019,267.35,272.2,264.03,269.58,"87,86,284"
02-10-2019,263.61,269.35,262.19,268.03,"77,73,299"
03-10-2019,267.78,268.84,257.01,268.15,"90,68,810"
04-10-2019,268.2,275.48,266.47,272.79,"99,92,774"
07-10-2019,271.99,276.68,271.28,274.46,"67,96,811"
08-10-2019,273.03,275.53,270.64,270.72,"63,02,269"
09-10-2019,270.02,271,264.57,267.53,"68,43,488"
10-10-2019,265.97,280.53,265.03,280.48,"1,09,61,190"
11-10-2019,284.8,287.87,275.89,282.93,"88,17,301"
14-10-2019,283.93,286.93,282,285.53,"55,43,120"
15-10-2019,283.82,285.87,279.4,284.25,"77,28,161"
16-10-2019,283.12,288.17,280.74,286.28,"1,84,13,340"
17-10-2019,304.49,308.75,288.3,293.35,"3,84,62,340"
18-10-2019,289.36,290.9,273.36,275.3,"2,34,49,641"
21-10-2019,272.89,279.94,269,278.05,"1,26,33,960"
22-10-2019,271.16,275.41,265.8,266.69,"1,18,65,590"
23-10-2019,268.06,273.92,266.63,271.27,"71,54,430"
24-10-2019,271.81,274.02,268.8,271.5,"49,11,033"
25-10-2019,270.68,277.77,270.18,276.82,"47,47,829"
28-10-2019,278.05,285.75,277.35,281.86,"62,48,433"
29-10-2019,281.87,284.41,277.55,281.21,"43,56,181"
30-10-2019,284.34,293.49,283,291.45,"93,45,562"
31-10-2019,291,291.45,284.78,287.41,"50,90,021"
01-11-2019,288.7,289.12,283.02,286.81,"55,94,293"
04-11-2019,288,295.39,287.16,292.86,"55,66,213"
05-11-2019,289.99,291.19,286.31,288.03,"40,62,370"
06-11-2019,288.19,290.56,285.84,288.59,"34,38,257"
07-11-2019,290.7,298.19,288.27,289.57,"59,28,471"
08-11-2019,288.73,293.99,287.51,291.57,"45,09,588"
11-11-2019,289.16,296.36,288.5,294.18,"39,45,885"
12-11-2019,295.32,295.35,288.7,292.01,"57,74,833"
13-11-2019,291.03,293.41,281.14,283.11,"92,33,066"
14-11-2019,283.25,290.63,283.22,289.62,"65,39,771"
15-11-2019,290.59,295.82,287.57,295.03,"63,37,779"
18-11-2019,296,304.99,293.28,302.57,"86,21,566"
19-11-2019,304.01,305.67,298.52,302.6,"59,19,710"
20-11-2019,301.01,308.25,301,305.16,"51,15,546"
21-11-2019,306,312.69,304.26,311.69,"74,88,373"
22-11-2019,309.1,311.4,304.41,310.48,"59,70,056"
25-11-2019,308.83,315.73,305.25,315.55,"78,78,943"
26-11-2019,315,316.5,311.69,312.49,"53,28,348"
27-11-2019,313.93,316.82,312.75,315.93,"41,00,975"
29-11-2019,315.78,316.62,313.34,314.66,"24,11,749"
02-12-2019,314.39,314.39,303.75,309.99,"62,23,135"
03-12-2019,302.22,307.36,301.88,306.16,"52,72,447"
04-12-2019,308.43,308.43,303.27,304.32,"35,13,551"
05-12-2019,305.27,306.48,298.81,302.86,"46,18,867"
06-12-2019,304.7,307.85,302.6,307.35,"44,59,684"
09-12-2019,307.35,311.49,302.44,302.5,"57,66,006"
10-12-2019,296.12,298.94,292.02,293.12,"1,04,81,240"
11-12-2019,294.49,299.43,294.2,298.93,"56,07,155"
12-12-2019,295.67,299.17,295.06,298.44,"47,71,404"
13-12-2019,298.5,301.8,297.25,298.5,"38,79,324"
16-12-2019,300.85,305.71,298.63,304.21,"46,60,166"
17-12-2019,307.36,316.8,306.6,315.48,"1,04,37,130"
18-12-2019,316.26,325.36,315.6,320.8,"1,12,10,740"
19-12-2019,324.5,332.83,324.18,332.22,"98,33,355"
20-12-2019,335,338,330.6,336.9,"99,23,260"
23-12-2019,337.76,337.95,331.02,333.1,"57,67,937"
24-12-2019,334.01,335.7,331.6,333.2,"20,19,322"
26-12-2019,334.6,336.46,332.01,332.63,"35,95,854"
27-12-2019,332.96,333.82,326.01,329.09,"50,37,156"
30-12-2019,329.08,329.19,322.86,323.31,"43,15,267"
31-12-2019,322,324.92,321.09,323.57,"37,14,837"
02-01-2020,326.1,329.98,324.78,329.81,"43,48,493"
03-01-2020,326.78,329.86,325.53,325.9,"37,95,466"
06-01-2020,323.12,336.36,321.2,335.83,"56,68,577"
07-01-2020,336.47,336.7,330.3,330.75,"47,42,458"
08-01-2020,331.49,342.7,331.05,339.26,"71,09,117"
09-01-2020,342,343.42,334.61,335.66,"47,17,430"
10-01-2020,337.13,338.5,327.27,329.05,"47,20,540"
13-01-2020,331.8,340.85,331.51,338.92,"62,96,174"
14-01-2020,344.4,345.38,335.52,338.69,"72,01,544"
15-01-2020,338.68,343.17,336.6,339.07,"51,58,035"
16-01-2020,343.5,343.56,335.85,338.62,"50,15,997"
17-01-2020,341,341.57,337.38,339.67,"60,66,547"
21-01-2020,340,341,332.59,338.11,"1,43,50,320"
22-01-2020,332.55,336.3,323.6,326,"2,17,29,961"
23-01-2020,326.04,349.88,325.01,349.6,"1,82,00,289"
24-01-2020,348.46,359.85,345.88,353.16,"1,79,39,680"
27-01-2020,345.95,351.9,341.02,342.88,"77,09,482"
28-01-2020,345.88,352.4,342.78,348.52,"68,21,581"
29-01-2020,349,349.4,338.55,343.16,"76,49,183"
30-01-2020,341.1,348.2,339.25,347.74,"53,28,136"
31-01-2020,347.39,347.39,340.98,345.09,"52,30,001"
